クライアントID,興行ID,公演日,開演時間,席種NO,席種名,券種NO,券種名,販売枚数
jd,JD25111430,20251129,1050,4,入場券,7,子ども(3～12歳まで),3
jd,JD25111430,20251129,1140,4,入場券,6,大人,56
jd,JD25111430,20251129,1140,4,入場券,7,子ども(3～12歳まで),0
jd,JD25111430,20251129,1230,4,入場券,6,大人,35
jd,JD25111430,20251129,1230,4,入場券,7,子ども(3～12歳まで),0
jd,JD25111430,20251129,1320,4,入場券,6,大人,67
jd,JD25111430,20251129,1320,4,入場券,7,子ども(3～12歳まで),1
jd,JD25111430,20251129,1410,4,入場券,6,大人,91
jd,JD25111430,20251129,1410,4,入場券,7,子ども(3～12歳まで),1
jd,JD25111430,20251129,1500,4,入場券,6,大人,91
jd,JD25111430,20251129,1500,4,入場券,7,子ども(3～12歳まで),2
jd,JD25111430,20251129,1550,4,入場券,6,大人,6
jd,JD25111430,20251129,1550,4,入場券,7,子ども(3～12歳まで),0
jd,JD25111430,20251129,1640,4,入場券,6,大人,5
jd,JD25111430,20251129,1640,4,入場券,7,子ども(3～12歳まで),0
jd,JD25111430,20251129,1730,4,入場券,6,大人,8
jd,JD25111430,20251129,1730,4,入場券,7,子ども(3～12歳まで),0
jd,JD25111430,20251129,1820,4,入場券,6,大人,9
jd,JD25111430,20251129,1820,4,入場券,7,子ども(3～12歳まで),0
jd,JD25111430,20251129,1910,4,入場券,6,大人,3
jd,JD25111430,20251129,1910,4,入場券,7,子ども(3～12歳まで),0
jd,JD25111430,20251129,2000,4,入場券,6,大人,1
jd,JD25111430,20251129,2000,4,入場券,7,子ども(3～12歳まで),0
jd,JD25111430,20251130,1000,4,入場券,6,大人,87
jd,JD25111430,20251130,1000,4,入場券,7,子ども(3～12歳まで),1
jd,JD25111430,20251130,1050,4,入場券,6,大人,45
jd,JD25111430,20251130,1050,4,入場券,7,子ども(3～12歳まで),0
jd,JD25111430,20251130,1140,4,入場券,6,大人,41
jd,JD25111430,20251130,1140,4,入場券,7,子ども(3～12歳まで),1
jd,JD25111430,20251130,1230,4,入場券,6,大人,36
jd,JD25111430,20251130,1230,4,入場券,7,子ども(3～12歳まで),0
jd,JD25111430,20251130,1320,4,入場券,6,大人,74
jd,JD25111430,20251130,1320,4,入場券,7,子ども(3～12歳まで),2
jd,JD25111430,20251130,1410,4,入場券,6,大人,62
jd,JD25111430,20251130,1410,4,入場券,7,子ども(3～12歳まで),0
jd,JD25111430,20251130,1500,4,入場券,6,大人,86
jd,JD25111430,20251130,1500,4,入場券,7,子ども(3～12歳まで),0
jd,JD25111430,20251130,1550,4,入場券,6,大人,0
jd,JD25111430,20251130,1550,4,入場券,7,子ども(3～12歳まで),0
jd,JD25111430,20251130,1640,4,入場券,6,大人,0
jd,JD25111430,20251130,1640,4,入場券,7,子ども(3～12歳まで),0
